MR2006,MR2006lower,MR2006upper
1.992629455,1.439344224,3.229842018
2.475470387,1.444565132,4.004939617
2.733610041,1.382496813,4.570566681
3.126033467,1.539990912,4.934745143
3.186254315,1.687150239,5.155641757
3.158620908,1.430074524,5.07338409
3.091977055,1.243504551,4.770417978
2.953458667,0.999369305,4.448781121
2.7841261,0.69386663,4.132183771
2.61316249,0.391008389,3.795676488
2.427992734,0.237274011,3.50138894
2.245473482,0.000361238,3.218587347
2.072017881,-0.215623118,2.934647949
1.906561991,-0.300038933,2.739571781
1.753223311,-0.279678246,2.482032038
1.613111418,-0.238268573,2.320610664
1.48517101,-0.191652591,2.194584403
1.369369154,-0.145801138,2.076177797
1.264752869,-0.112163138,1.96722225
1.169918746,-0.140973536,1.876120601
